epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,3168.52,1.8031,0.93182,0.00282,0.71756,0.70585,0.72771,0.463,1.61353,0.81374,0.00362,0.034494,0.011498,0.034494,0.011498,0.034494,0.011498,0.034494,0.011498
43,3241.4,1.80909,0.919,0.00288,0.70812,0.69138,0.72065,0.45812,1.61319,0.81823,0.00356,0.0343628,0.0114543,0.0343628,0.0114543,0.0343628,0.0114543,0.0343628,0.0114543
44,3314.07,1.79898,0.93495,0.00293,0.71331,0.71405,0.72868,0.46272,1.59517,0.82135,0.00354,0.0342317,0.0114106,0.0342317,0.0114106,0.0342317,0.0114106,0.0342317,0.0114106
45,3386.97,1.79729,0.91964,0.00284,0.68681,0.73076,0.73207,0.46737,1.60603,0.81732,0.00356,0.0341006,0.0113669,0.0341006,0.0113669,0.0341006,0.0113669,0.0341006,0.0113669
46,3460.34,1.80181,0.92533,0.00281,0.7056,0.7214,0.725,0.46523,1.59439,0.81325,0.00351,0.0339695,0.0113232,0.0339695,0.0113232,0.0339695,0.0113232,0.0339695,0.0113232
47,3534.58,1.78263,0.92091,0.00286,0.70715,0.70982,0.73104,0.46572,1.5985,0.82338,0.00355,0.0338383,0.0112794,0.0338383,0.0112794,0.0338383,0.0112794,0.0338383,0.0112794
48,3607.55,1.80251,0.91744,0.00278,0.72288,0.71385,0.72615,0.46299,1.57943,0.81811,0.0035,0.0337072,0.0112357,0.0337072,0.0112357,0.0337072,0.0112357,0.0337072,0.0112357
49,3680.45,1.78841,0.9228,0.00283,0.74819,0.70132,0.72588,0.46532,1.58327,0.81528,0.00347,0.0335761,0.011192,0.0335761,0.011192,0.0335761,0.011192,0.0335761,0.011192
50,3753.74,1.80136,0.91988,0.00284,0.72367,0.71572,0.72403,0.4688,1.59435,0.80775,0.00351,0.033445,0.0111483,0.033445,0.0111483,0.033445,0.0111483,0.033445,0.0111483
51,3826.41,1.78766,0.92731,0.00284,0.709,0.70968,0.72225,0.4693,1.58341,0.81458,0.00351,0.0333138,0.0111046,0.0333138,0.0111046,0.0333138,0.0111046,0.0333138,0.0111046
