epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,4653.36,1.42287,0.667,0.00196,0.75928,0.79887,0.80595,0.55487,1.32002,0.62466,0.00269,0.0034494,0.0011498,0.0034494,0.0011498,0.0034494,0.0011498,0.0034494,0.0011498
43,4761.82,1.41422,0.6607,0.00198,0.75819,0.81979,0.80577,0.55835,1.31441,0.61415,0.00267,0.00343628,0.00114543,0.00343628,0.00114543,0.00343628,0.00114543,0.00343628,0.00114543
44,4869.83,1.40659,0.65309,0.00196,0.762,0.82536,0.81516,0.56154,1.31575,0.61957,0.00266,0.00342317,0.00114106,0.00342317,0.00114106,0.00342317,0.00114106,0.00342317,0.00114106
45,4978.17,1.39545,0.65486,0.00198,0.76014,0.83166,0.80598,0.55968,1.31743,0.62341,0.00267,0.00341006,0.00113669,0.00341006,0.00113669,0.00341006,0.00113669,0.00341006,0.00113669
46,5086.21,1.38619,0.654,0.00195,0.76315,0.81974,0.79955,0.55762,1.32411,0.61892,0.00267,0.00339695,0.00113232,0.00339695,0.00113232,0.00339695,0.00113232,0.00339695,0.00113232
47,5194.33,1.40703,0.65565,0.00194,0.75502,0.83824,0.80918,0.56404,1.3059,0.61403,0.00265,0.00338383,0.00112794,0.00338383,0.00112794,0.00338383,0.00112794,0.00338383,0.00112794
48,5302.42,1.41012,0.66561,0.00193,0.7839,0.80756,0.81078,0.56041,1.32091,0.61615,0.00267,0.00337072,0.00112357,0.00337072,0.00112357,0.00337072,0.00112357,0.00337072,0.00112357
49,5409.32,1.37483,0.64661,0.00192,0.78226,0.83175,0.8106,0.55709,1.3119,0.61614,0.00265,0.00335761,0.0011192,0.00335761,0.0011192,0.00335761,0.0011192,0.00335761,0.0011192
50,5517.63,1.39729,0.64947,0.00194,0.75916,0.83339,0.81334,0.56213,1.31467,0.61003,0.00266,0.0033445,0.00111483,0.0033445,0.00111483,0.0033445,0.00111483,0.0033445,0.00111483
51,5624.75,1.40117,0.65121,0.00193,0.76913,0.81959,0.80427,0.55715,1.30364,0.61694,0.00266,0.00333138,0.00111046,0.00333138,0.00111046,0.00333138,0.00111046,0.00333138,0.00111046
52,5732.13,1.37629,0.63908,0.00187,0.75964,0.83209,0.81056,0.55927,1.31119,0.6137,0.00266,0.00331827,0.00110609,0.00331827,0.00110609,0.00331827,0.00110609,0.00331827,0.00110609
53,5839.83,1.38382,0.64232,0.00194,0.76831,0.81409,0.81293,0.56224,1.30658,0.60464,0.00267,0.00330516,0.00110172,0.00330516,0.00110172,0.00330516,0.00110172,0.00330516,0.00110172
54,5947.68,1.37907,0.63926,0.00192,0.77425,0.81287,0.81309,0.56321,1.31262,0.59829,0.00265,0.00329205,0.00109735,0.00329205,0.00109735,0.00329205,0.00109735,0.00329205,0.00109735
55,6054.91,1.37392,0.63282,0.00189,0.7704,0.83093,0.81301,0.56466,1.30472,0.60451,0.00263,0.00327894,0.00109298,0.00327894,0.00109298,0.00327894,0.00109298,0.00327894,0.00109298
56,6162.2,1.37727,0.64127,0.00189,0.77056,0.8296,0.81232,0.56194,1.30898,0.60485,0.00266,0.00326582,0.00108861,0.00326582,0.00108861,0.00326582,0.00108861,0.00326582,0.00108861
57,6269.51,1.36415,0.63175,0.0019,0.75656,0.82735,0.81956,0.56573,1.31087,0.60487,0.00265,0.00325271,0.00108424,0.00325271,0.00108424,0.00325271,0.00108424,0.00325271,0.00108424
58,6376.34,1.37687,0.64546,0.00188,0.74772,0.84215,0.80898,0.55817,1.31402,0.61986,0.00265,0.0032396,0.00107987,0.0032396,0.00107987,0.0032396,0.00107987,0.0032396,0.00107987
59,6483.32,1.34919,0.61985,0.00188,0.75491,0.82943,0.8108,0.56146,1.30688,0.61177,0.00264,0.00322649,0.0010755,0.00322649,0.0010755,0.00322649,0.0010755,0.00322649,0.0010755
60,6590.86,1.36535,0.62813,0.00189,0.77137,0.82514,0.80908,0.56039,1.30867,0.61309,0.00264,0.00321337,0.00107112,0.00321337,0.00107112,0.00321337,0.00107112,0.00321337,0.00107112
61,6697.48,1.37865,0.63724,0.00187,0.75603,0.83331,0.80785,0.56168,1.31019,0.6163,0.00265,0.00320026,0.00106675,0.00320026,0.00106675,0.00320026,0.00106675,0.00320026,0.00106675
